iter	MAPE
0	0.1460307677
1	0.1320703452
2	0.1188133399
3	0.1127555788
4	0.1073026683
5	0.1014447526
6	0.09263638705
7	0.08850891836
8	0.08208567767
9	0.07978564718
10	0.07441110664
11	0.07175896891
12	0.06978917288
13	0.06670400848
14	0.06478081761
15	0.06210540943
16	0.0607584746
17	0.05880602649
18	0.05790183417
19	0.0565369725
20	0.05569296839
21	0.05371519349
22	0.05274083688
23	0.05141897791
24	0.05116454524
25	0.05104138195
26	0.05057320859
27	0.05051888543
28	0.04774603543
29	0.04728602812
30	0.04656543462
31	0.04566548084
32	0.04548863456
33	0.04483699908
34	0.04427120352
35	0.04414796509
36	0.04374376356
37	0.04338607561
38	0.04280847032
39	0.04244116855
40	0.04175740927
41	0.04146656763
42	0.04061432287
43	0.04047040942
44	0.04034379205
45	0.04013438713
46	0.03963654153
47	0.03926030543
48	0.03821338776
49	0.03819156222
50	0.03766081402
51	0.03740344949
52	0.03738142798
53	0.03680508623
54	0.03667001613
55	0.03611060876
56	0.03587265424
57	0.03544901334
58	0.03538904123
59	0.03538413632
60	0.03535764266
61	0.0353186256
62	0.03526728144
63	0.03516828773
64	0.03504160393
65	0.03496070849
66	0.03459334747
67	0.0345396897
68	0.03444664033
69	0.03426927743
70	0.03390041742
71	0.03347890766
72	0.03329747564
73	0.03312914854
74	0.03284251467
75	0.03256228545
76	0.03256010842
77	0.03234027633
78	0.0322234637
79	0.03222186642
80	0.03215762053
81	0.03192491521
82	0.03188293669
83	0.03187967738
84	0.03151100965
85	0.03096692986
86	0.03084762326
87	0.0308315486
88	0.03081432474
89	0.03059013378
90	0.03058486259
91	0.03050112448
92	0.03044685622
93	0.03034971706
94	0.0302511742
95	0.03024587743
96	0.03024101693
97	0.03020550716
98	0.03019248692
99	0.03018771402
100	0.03017146943
101	0.03016453971
102	0.02996043228
103	0.02995184811
104	0.02994019353
105	0.0298068203
106	0.02971829734
107	0.0297063553
108	0.02969513562
109	0.0296355515
110	0.02955150267
111	0.0293781235
112	0.02937686081
113	0.02936123396
114	0.02934849215
115	0.02932873152
116	0.02930905991
117	0.02930796279
118	0.02929955605
119	0.02922429266
120	0.02917926903
121	0.02917245869
122	0.02911718799
123	0.02905401986
124	0.02905337977
125	0.02899706007
126	0.02899224434
127	0.02898183781
128	0.02898045631
129	0.02897439607
130	0.02894024734
131	0.02894038877
132	0.02893924185
133	0.02892112075
134	0.02891543745
135	0.02891020008
136	0.02890946756
137	0.02882038289
138	0.02881972025
139	0.02881201246
