Date,Open,High,Low,Close,Adj Close,Volume
2021-02-16,72.190002,74.839996,71.813499,73.959999,73.959999,27748039
2021-02-17,73.050003,73.279999,70.129997,71.790001,71.790001,21422569
2021-02-18,70.739998,72.900002,70.360001,72.260002,72.260002,16072092
2021-02-19,72.970001,74.959999,71.879997,72.279999,72.279999,25910960
2021-02-22,71.730003,73.750000,70.419998,70.489998,70.489998,21049583
2021-02-23,68.449997,74.330002,66.190002,73.169998,73.169998,32669478
2021-02-24,73.099998,73.949997,71.709999,71.919998,71.919998,18309875
2021-02-25,78.150002,80.750000,73.889999,74.589996,74.589996,63625737
2021-02-26,76.870003,79.080002,75.000000,77.059998,77.059998,35323504
2021-03-01,78.360001,78.730003,76.050003,77.629997,77.629997,24359195
2021-03-02,76.610001,77.099998,73.559998,73.669998,73.669998,20517049
2021-03-03,74.010002,74.500000,70.658699,70.860001,70.860001,19379426
2021-03-04,70.610001,71.779999,66.019997,66.750000,66.750000,22538633
2021-03-05,67.669998,67.790001,61.523499,66.949997,66.949997,22346152
2021-03-08,67.400002,68.635002,63.419998,63.480000,63.480000,21722005
2021-03-09,65.724998,68.209999,64.600098,67.519997,67.519997,22603860
2021-03-10,69.456497,69.459999,64.589996,64.830002,64.830002,22464154
2021-03-11,66.370003,68.739998,65.830002,68.459999,68.459999,14722212
2021-03-12,67.720001,68.815002,66.644798,68.099998,68.099998,15414024
2021-03-15,68.239998,70.489998,67.180000,70.279999,70.279999,15476354
2021-03-16,71.070000,71.860001,68.570000,69.250000,69.250000,13216148
2021-03-17,68.320000,70.820000,66.959999,70.199997,70.199997,15681622
2021-03-18,69.209999,69.900002,66.680000,66.720001,66.720001,15850211
2021-03-19,67.110001,67.110001,65.769997,66.230003,66.230003,20721564
2021-03-22,66.889999,66.889999,64.349998,65.209999,65.209999,24123797
2021-03-23,65.150002,65.629997,64.110001,64.269997,64.269997,17788626
2021-03-24,64.949997,64.949997,62.049999,62.060001,62.060001,15475524
2021-03-25,60.200001,62.009998,59.570000,61.200001,61.200001,19197217
2021-03-26,61.520000,61.869999,59.279999,61.259998,61.259998,15582643
2021-03-29,62.000000,64.959999,61.709999,62.939999,62.939999,22034480
2021-03-30,62.299999,64.099998,61.900002,62.990002,62.990002,12533312
2021-03-31,63.980000,64.980003,63.270000,63.630001,63.630001,14479759
