Date,Open,High,Low,Close,Adj Close,Volume
2017-12-19,50.560001,50.674999,49.903999,49.973999,49.973999,27180
2017-12-20,50.307499,50.410000,49.606499,49.729000,49.729000,27900
2017-12-21,49.744999,49.744999,49.239948,49.654499,49.654499,18100
2017-12-22,49.770000,49.770000,49.336651,49.355499,49.355499,14860
2017-12-27,49.700001,49.852901,49.394951,49.687000,49.687000,29060
2017-12-28,49.797501,49.797501,49.556999,49.556999,49.556999,17860
2017-12-29,49.701500,49.701500,49.469002,49.569000,49.569000,14800
2018-01-02,49.049999,49.349998,48.349998,49.349998,49.349998,43200
2018-01-03,49.299999,50.099998,49.299999,50.000000,50.000000,25800
2018-01-04,50.000000,50.400002,49.900002,49.900002,49.900002,34600
2018-01-05,50.200001,50.799999,50.200001,50.799999,50.799999,18560
2018-01-08,51.299999,52.299999,51.200001,52.000000,52.000000,47900
2018-01-09,52.200001,52.799999,52.000000,52.400002,52.400002,31740
2018-01-10,52.500000,52.500000,51.299999,52.200001,52.200001,30760
2018-01-11,52.599998,52.900002,52.200001,52.799999,52.799999,35200
2018-01-12,53.200001,53.700001,52.500000,53.599998,53.599998,36200
2018-01-15,53.900002,53.900002,53.500000,53.799999,53.799999,43540
2018-01-16,53.799999,54.799999,53.700001,53.700001,53.700001,32740
2018-01-17,53.299999,53.799999,52.400002,52.799999,52.799999,29820
2018-01-18,53.200001,53.299999,52.500000,53.200001,53.200001,17140
2018-01-19,52.700001,53.700001,52.599998,53.000000,53.000000,14140
2018-01-22,53.099998,53.900002,52.799999,53.900002,53.900002,17180
2018-01-23,54.599998,55.099998,54.400002,55.000000,55.000000,42640
2018-01-24,55.500000,55.900002,53.900002,53.900002,53.900002,34820
2018-01-25,54.700001,55.299999,54.299999,55.200001,55.200001,24080
2018-01-26,55.400002,56.400002,55.400002,56.200001,56.200001,27120
2018-01-29,56.900002,57.799999,56.500000,57.700001,57.700001,62380
2018-01-30,57.174999,57.709499,56.188000,57.644501,57.644501,76860
2018-01-31,57.900002,59.159500,57.900002,59.136002,59.136002,63380
2018-02-01,59.399502,59.450001,57.230999,57.230999,57.230999,69780
2018-02-02,59.402500,60.049999,57.696499,58.241501,58.241501,131480
2018-02-05,57.349499,58.691002,55.250000,57.783501,57.783501,114620
2018-02-06,54.599998,57.682499,51.400002,56.519001,56.519001,243600
2018-02-07,58.200001,59.450001,57.821499,58.624001,58.624001,76260
2018-02-08,57.900002,58.624001,55.950001,56.605000,56.605000,41780
2018-02-09,54.750000,56.375000,51.929001,53.647499,53.647499,78320
2018-02-12,55.000000,56.507000,54.990501,56.496498,56.496498,66660
2018-02-13,56.450001,57.394001,55.500500,56.879501,56.879501,28900
2018-02-14,57.349499,58.090000,56.950500,57.956001,57.956001,31680
2018-02-15,58.449501,58.799500,57.695499,58.529499,58.529499,37880
2018-02-16,58.470001,58.862499,58.426998,58.534000,58.534000,28240
2018-02-19,58.599998,58.820499,58.599998,58.814999,58.814999,20500
2018-02-20,58.709999,60.159000,57.924999,60.159000,60.159000,23000
2018-02-21,59.748001,60.839001,59.500000,60.610500,60.610500,26160
2018-02-22,60.000000,60.868500,59.750500,60.271000,60.271000,30000
2018-02-23,60.650002,60.874500,60.470001,60.639500,60.639500,23680
2018-02-26,61.049999,61.882000,61.049999,61.602001,61.602001,62140
2018-02-27,61.900002,62.299500,61.599998,61.899502,61.899502,40360
2018-02-28,61.849998,62.695999,61.750999,62.348999,62.348999,36960
2018-03-01,62.149502,62.450001,60.349998,60.349998,60.349998,53620
2018-03-02,60.803001,61.099499,59.350498,60.227501,60.227501,52820
2018-03-05,60.645000,61.727501,60.200001,61.471001,61.471001,73720
2018-03-06,61.851002,62.349499,61.612000,61.882999,61.882999,43380
2018-03-07,61.000000,62.202000,60.750000,61.719501,61.719501,24460
2018-03-08,62.349499,63.058998,62.193501,62.854000,62.854000,37520
2018-03-09,63.099998,63.798000,63.000000,63.798000,63.798000,36880
2018-03-12,64.709999,65.149498,64.422501,64.781998,64.781998,67860
2018-03-13,65.137001,65.349503,63.712002,64.286499,64.286499,45920
2018-03-14,63.900002,64.947502,63.900002,64.516998,64.516998,29800
2018-03-15,64.599998,64.749496,64.099998,64.243500,64.243500,26560
2018-03-16,64.349998,64.607002,63.901001,63.987499,63.987499,25380
2018-03-19,63.849998,63.849998,61.900002,62.183998,62.183998,72840
2018-03-20,62.799999,64.410500,62.500000,64.290497,64.290497,55380
2018-03-21,64.949501,64.949501,63.700001,63.700001,63.700001,34620
2018-03-22,64.199501,64.199997,62.840500,63.203999,63.203999,32440
2018-03-23,61.529999,62.707500,60.799999,60.799999,60.799999,132400
2018-03-26,61.099499,61.950001,60.375500,61.190498,61.190498,63020
2018-03-27,63.149502,63.575001,62.204498,62.204498,62.204498,49700
2018-03-28,60.650002,60.924999,56.203499,57.878502,57.878502,135760
2018-03-29,57.799999,58.950001,55.549999,58.500000,58.500000,80620
2018-04-03,55.299500,57.297001,55.175499,56.118999,56.118999,112900
2018-04-04,56.200001,56.750500,54.599998,56.227501,56.227501,92400
2018-04-05,58.249500,59.549999,58.067501,58.978500,58.978500,72840
2018-04-06,58.155499,59.101002,57.973999,57.973999,57.973999,28600
2018-04-09,57.999500,58.306999,57.708500,58.094501,58.094501,32460
2018-04-10,58.000000,58.349998,57.422001,57.787498,57.787498,16300
2018-04-11,57.949501,58.500000,57.400002,58.400002,58.400002,13760
2018-04-12,57.755001,58.995998,57.709499,58.547001,58.547001,22900
2018-04-13,58.699501,59.084999,58.337002,58.567501,58.567501,16680
2018-04-16,58.150002,58.500000,57.700500,58.323502,58.323502,16400
2018-04-17,58.450001,60.453499,58.400002,60.453499,60.453499,56000
2018-04-18,61.049999,61.825001,60.811501,61.700500,61.700500,33140
2018-04-19,62.849998,63.314999,62.217999,62.833500,62.833500,27560
2018-04-20,63.299999,63.575500,62.425999,62.451500,62.451500,19840
