iter	Passed	Remaining
399	28219	42329
400	28292	42262
401	28383	42222
402	28469	42173
403	28539	42103
404	28602	42021
405	28674	41951
406	28744	41880
407	28809	41802
408	28928	41800
409	29032	41778
410	29102	41706
411	29175	41638
412	29239	41558
413	29325	41508
414	29391	41431
415	29453	41348
416	29526	41279
417	29600	41213
418	29672	41145
419	29729	41055
420	29801	40985
421	29881	40927
422	29953	40858
423	30007	40764
424	30089	40709
425	30155	40632
426	30225	40560
427	30337	40544
428	30418	40486
429	30485	40410
430	30560	40344
431	30632	40276
432	30706	40209
433	30787	40151
434	30861	40084
435	30921	39999
436	30990	39926
437	31072	39869
438	31148	39805
439	31203	39713
440	31268	39635
441	31334	39557
442	31410	39493
443	31517	39467
444	31616	39432
445	31709	39388
446	31837	39387
447	31940	39355
448	32021	39295
449	32118	39255
450	32242	39249
451	32363	39237
452	32467	39204
453	32577	39178
454	32688	39154
455	32791	39119
456	32911	39104
457	33004	39057
458	33126	39044
459	33230	39009
460	33359	39003
461	33470	38976
462	33606	38977
463	33725	38959
464	33821	38912
465	33908	38855
466	33994	38798
467	34083	38744
468	34183	38702
469	34291	38668
470	34410	38647
471	34517	38612
472	34617	38569
473	34756	38569
474	34867	38538
475	34970	38497
476	35076	38459
477	35161	38398
478	35264	38356
479	35363	38310
480	35464	38266
481	35542	38197
482	35626	38133
483	35730	38092
484	35843	38061
485	35968	38041
486	36077	38003
487	36171	37950
488	36275	37907
489	36374	37858
490	36473	37810
491	36559	37748
492	36655	37696
493	36735	37627
494	36828	37572
495	36948	37544
496	37037	37484
497	37133	37431
498	37221	37370
499	37309	37309
500	37396	37247
501	37495	37196
502	37598	37150
503	37693	37095
504	37777	37029
505	37881	36983
506	37974	36925
507	38055	36856
508	38166	36816
509	38274	36773
510	38372	36720
511	38481	36678
512	38584	36628
513	38680	36573
514	38770	36511
515	38859	36449
516	38966	36403
517	39074	36359
518	39173	36305
519	39280	36259
520	39367	36193
521	39450	36124
522	39564	36084
523	39666	36032
524	39748	35962
525	39843	35904
526	39935	35843
527	40023	35778
528	40102	35706
529	40202	35650
530	40300	35595
531	40386	35527
532	40472	35461
533	40565	35399
534	40651	35332
535	40750	35276
536	40855	35225
537	40960	35174
538	41048	35108
539	41136	35041
540	41232	34982
541	41355	34946
542	41540	34961
543	41710	34963
544	41818	34912
545	41911	34849
546	42022	34800
547	42151	34767
548	42236	34696
549	42339	34641
550	42435	34580
551	42543	34527
552	42640	34467
553	42732	34402
554	42842	34350
555	42932	34283
556	43025	34219
557	43136	34169
558	43229	34104
559	43338	34051
560	43431	33986
561	43524	33921
562	43633	33868
563	43725	33801
564	43825	33741
565	43930	33685
566	44041	33633
567	44125	33560
568	44230	33503
569	44311	33428
570	44401	33359
571	44482	33284
572	44583	33223
573	44687	33165
574	44792	33107
575	44880	33036
576	44986	32979
577	45094	32923
578	45186	32855
579	45290	32796
580	45380	32726
581	45449	32642
582	45540	32573
583	45611	32490
584	45702	32421
585	45788	32348
586	45881	32281
587	45974	32213
588	46061	32141
589	46160	32077
590	46267	32019
591	46340	31937
592	46430	31867
593	46522	31798
594	46640	31746
595	46764	31699
596	46864	31635
597	46955	31565
598	47038	31490
599	47151	31434
600	47246	31366
601	47333	31293
602	47411	31214
603	47497	31140
604	47596	31075
605	47690	31006
606	47768	30927
607	47857	30855
608	47955	30789
609	48039	30713
610	48123	30638
611	48212	30566
612	48295	30489
613	48372	30409
614	48455	30333
615	48531	30253
616	48618	30179
617	48696	30100
618	48773	30020
619	48863	29948
620	48957	29878
621	49067	29819
622	49163	29750
623	49258	29681
624	49334	29600
625	49434	29534
626	49535	29468
627	49618	29391
628	49703	29316
629	49784	29238
630	49877	29167
631	49970	29096
632	50081	29036
633	50191	28975
634	50299	28912
635	50398	28844
636	50506	28781
637	50596	28708
638	50694	28639
639	50772	28559
640	50878	28495
641	50963	28418
642	51039	28337
643	51151	28276
644	51290	28229
645	51413	28173
646	51520	28109
647	51617	28038
648	51713	27968
649	51818	27902
650	51923	27836
651	52005	27757
652	52131	27702
653	52236	27635
654	52353	27575
655	52432	27495
656	52513	27415
657	52599	27338
658	52702	27270
659	52783	27191
660	52866	27112
661	52931	27025
662	53001	26940
663	53080	26859
664	53173	26786
665	53248	26704
666	53326	26623
667	53423	26551
668	53503	26471
669	53576	26388
670	53653	26307
671	53723	26222
672	53792	26137
673	53867	26054
674	53942	25972
675	54051	25906
676	54119	25820
677	54204	25743
678	54284	25663
679	54366	25584
680	54426	25494
681	54497	25410
682	54573	25328
683	54651	25248
684	54733	25169
685	54803	25085
686	54871	24999
687	54938	24913
688	55012	24831
689	55104	24756
690	55174	24672
691	55247	24590
692	55324	24508
693	55386	24421
694	55448	24333
695	55516	24248
696	55579	24161
697	55638	24072
