iter	RMSE
0	36.81489402
1	35.03696503
2	33.46262576
3	32.06534648
4	30.82704226
5	29.75032956
6	28.76261652
7	27.88753376
8	27.11878661
9	26.35863495
10	25.74032345
11	25.20074509
12	24.70434209
13	24.33399165
14	23.9324178
15	23.57699068
16	23.28111613
17	23.00938681
18	22.76654328
19	22.52971198
20	22.3830161
21	22.22745649
22	22.09608495
23	21.98928242
24	21.85864218
25	21.73475446
26	21.6160055
27	21.60611024
28	21.59497103
29	21.58563592
30	21.5136462
31	21.50202142
32	21.49342424
33	21.43787982
34	21.34475952
35	21.27016128
36	21.26076715
37	21.25007704
38	21.18930798
39	21.18025646
40	21.17210686
41	21.16336481
42	21.15498394
43	21.10380305
44	21.09535237
45	21.03994959
46	21.03212601
47	21.02468098
48	20.98626611
49	20.92984444
50	20.85723918
51	20.79585778
52	20.78790056
53	20.78059629
54	20.74126494
55	20.73266962
56	20.72610263
57	20.71960174
58	20.71318306
59	20.70739881
60	20.7006583
61	20.69407809
62	20.6882701
63	20.68236601
64	20.6173876
65	20.57109547
66	20.51394698
67	20.48225556
68	20.47687959
69	20.47019312
70	20.46488684
71	20.45236139
72	20.44706192
73	20.43981453
74	20.40710831
75	20.38862004
76	20.34884865
77	20.3442083
78	20.33930282
79	20.33391101
80	20.32760653
81	20.26883398
82	20.26447504
83	20.25926712
84	20.2317989
85	20.22796148
86	20.22048156
87	20.2159687
88	20.2110035
89	20.20726757
90	20.20316503
91	20.19825969
92	20.19404461
93	20.18952353
94	20.18416598
95	20.18013673
96	20.17632486
97	20.17049459
98	20.16557828
99	20.16009516
100	20.15519051
101	20.1503425
102	20.14619748
103	20.14158839
104	20.13782714
105	20.09958172
106	20.09614255
107	20.06466974
108	20.0612365
109	20.05702341
110	20.05319322
111	20.04957363
112	20.04393709
113	20.0183704
114	20.01389045
115	20.01073863
116	20.0054846
117	20.00243582
118	19.99955995
119	19.95131236
120	19.91275411
121	19.86822773
122	19.86519098
123	19.86219349
124	19.85931781
125	19.85643862
126	19.85123511
127	19.84869556
128	19.83881268
129	19.79716162
130	19.78901634
131	19.78031024
132	19.74157653
133	19.70319635
134	19.66093314
135	19.62198313
136	19.60405617
137	19.58885034
138	19.57672442
139	19.53936963
140	19.49961113
141	19.49696807
142	19.4652628
143	19.46214613
144	19.45980548
145	19.45734535
146	19.45503678
147	19.45213335
148	19.42452307
149	19.4224722
150	19.42038215
151	19.41829755
152	19.41622376
153	19.41432039
154	19.41233334
155	19.40818879
156	19.40572834
157	19.40336313
158	19.40158049
159	19.36372427
160	19.33395849
161	19.33217203
162	19.31821392
163	19.29295952
164	19.2577675
165	19.25579104
166	19.25421946
167	19.23824119
168	19.21830003
169	19.19302238
170	19.16246265
171	19.14642476
172	19.12318707
173	19.11526952
174	19.10962873
175	19.09058612
176	19.08521056
177	19.06220007
178	19.04589455
179	19.03495004
180	19.02672831
181	19.00533994
182	18.99839047
183	18.95512848
184	18.95084225
185	18.93581735
186	18.92040512
187	18.90460857
188	18.88582824
189	18.87352815
190	18.86865932
191	18.83422062
192	18.80600961
193	18.78962777
