iter	F1	Logloss
0	0.9285714286	0.5026353813
1	0.9285714286	0.335350936
2	0.9830508475	0.2344716685
3	0.9830508475	0.1643377968
4	0.9830508475	0.1218985068
5	0.9830508475	0.0863618115
6	1	0.06524837975
7	1	0.04739234324
8	1	0.03797772002
9	1	0.02982196109
10	1	0.02406338078
11	1	0.019234897
12	1	0.01589608197
13	1	0.01369219036
14	1	0.01153627076
15	1	0.01010495888
16	1	0.009066518188
17	1	0.007979416054
18	1	0.007232138579
19	1	0.006551958489
20	1	0.005882087152
21	1	0.005380497755
22	1	0.00486421892
23	1	0.004487280651
24	1	0.004215108495
25	1	0.003885922823
26	1	0.003674055261
27	1	0.003460964351
28	1	0.003240625709
29	1	0.00303988089
30	1	0.002912860495
31	1	0.002721219238
32	1	0.002564779581
33	1	0.002408387826
34	1	0.002266578768
35	1	0.002135758154
36	1	0.002049034565
37	1	0.001974589185
38	1	0.001880643188
39	1	0.001808909926
40	1	0.001747825752
41	1	0.00168709778
42	1	0.001627855063
43	1	0.001567087649
44	1	0.001517636351
45	1	0.001456068188
46	1	0.001416199623
47	1	0.001366851195
48	1	0.001315742912
49	1	0.001269198279
50	1	0.001235280026
51	1	0.001195104348
52	1	0.00116109514
53	1	0.001123524966
54	1	0.001094159351
55	1	0.001072705784
56	1	0.001042420583
57	1	0.001013449343
58	1	0.000985096912
59	1	0.0009654980164
60	1	0.0009442457428
61	1	0.0009198440716
62	1	0.0008986990313
63	1	0.000881286186
64	1	0.0008560398567
65	1	0.0008356484352
66	1	0.0008192722563
67	1	0.0007958100052
68	1	0.0007843145332
69	1	0.0007726419037
70	1	0.000760128412
71	1	0.0007468242223
72	1	0.0007367351388
73	1	0.0007204667767
74	1	0.0007100959299
75	1	0.0006985034988
76	1	0.0006855878536
77	1	0.0006756525825
78	1	0.0006651966003
79	1	0.0006562245759
80	1	0.0006478609597
81	1	0.0006382680691
82	1	0.0006278898326
83	1	0.0006171622606
84	1	0.0006078249265
85	1	0.0006006559787
86	1	0.0005932893831
87	1	0.0005864338298
88	1	0.0005791245078
89	1	0.0005732807299
90	1	0.0005664842792
91	1	0.0005600856542
92	1	0.0005536617162
93	1	0.0005449439759
94	1	0.0005392047235
95	1	0.000533353994
96	1	0.0005282467428
97	1	0.0005211276218
98	1	0.0005158712337
99	1	0.0005107352352
100	1	0.0005049910998
101	1	0.0005001180761
102	1	0.000495105022
103	1	0.000490161379
104	1	0.0004845492676
105	1	0.0004794000723
106	1	0.0004732982536
107	1	0.0004686329977
108	1	0.0004644441177
109	1	0.0004589130455
110	1	0.0004547957383
111	1	0.0004502520804
112	1	0.0004450461228
113	1	0.0004400896527
114	1	0.0004365053881
115	1	0.0004327736128
116	1	0.0004296799894
117	1	0.0004264273816
118	1	0.0004225965907
119	1	0.0004191066863
120	1	0.0004156311102
121	1	0.0004116650914
122	1	0.0004081059291
123	1	0.0004040389246
124	1	0.0004008966353
125	1	0.0003976755618
126	1	0.0003946778093
127	1	0.0003905190078
128	1	0.0003867521095
129	1	0.0003838887973
130	1	0.0003813270067
131	1	0.0003780523865
132	1	0.0003749415562
133	1	0.0003718057858
134	1	0.0003691512676
135	1	0.0003660486371
136	1	0.0003634102239
137	1	0.0003603707746
138	1	0.0003579265414
139	1	0.0003551605292
140	1	0.0003526126413
141	1	0.0003495315364
142	1	0.0003473370781
143	1	0.0003446337675
144	1	0.0003422737135
145	1	0.0003401003897
146	1	0.0003378630458
147	1	0.0003351837658
148	1	0.0003330964377
149	1	0.0003311799459
150	1	0.0003284985204
151	1	0.0003262303466
152	1	0.0003235335545
153	1	0.0003215403554
154	1	0.000319497794
155	1	0.0003175658785
156	1	0.0003157105132
